=HYPERLINK("https://www.pbs.org/show/professor-t/";"Professor T (Belgian)")	3	39		Drama	Flemish		Eccentric criminal psychology Professor T has a brilliant mind, but also several neurological disorders which make him complex and often difficult, with a very unpredictable nature. Along with his trusted colleagues Annelies and Daan, they form a team of high-powered advisors that the Antwerp Homicide Department comes to rely on. In Flemish.
=HYPERLINK("https://www.pbs.org/video/three-oak-campus-pydraj/";"Professor T (Belgian), S01E01, Three Oak Campus")			00:54:53			TV-14	A girl is raped on an Antwerp university campus in circumstances identical to an unsolved case from 10 years earlier. Inspector Annelies Donckers calls upon her former criminal psychology professor Jasper Teerlinck to help crack the impossible case. Simultaneously expert and eccentric, his curious methods ruffle a few feathers along the way. In Flemish with English subtitles.
=HYPERLINK("https://www.pbs.org/video/a-fatal-mistake-uoyljk/";"Professor T (Belgian), S01E02, A Fatal Mistake")			00:54:21			TV-14	A university's chief librarian is poisoned, but police believe he may have been the wrong target. Their fears are confirmed when they discover another victim. Professor T is summoned to help solve the crime, much to the horror of Chief Inspector Rabet, who is yet to be convinced by Professor T's controversial ways. In Flemish with English subtitles.
=HYPERLINK("https://www.pbs.org/video/the-inspection-ksjbzc/";"Professor T (Belgian), S01E03, The Inspection")			00:52:23			NR	The chairwoman of the school's inspection team is murdered. At first, it looks like a robbery gone wrong, but Professor T is convinced the school principal is somehow involved. Annelies and Daan confront Rabet over his increasing drinking problem, but agree not to tell the commissioner. Meanwhile, Annelies opens up to Daan about her father's Alzheimer's disease. In Flemish with English subtitles.
=HYPERLINK("https://www.pbs.org/video/double-life-wixcay/";"Professor T (Belgian), S01E04, Double Life")			00:53:16			TV-14	The police investigate the disappearance of a first-year law student with several secrets to hide. Meanwhile, Professor T is visited by a call girl and makes a special arrangement. Daan begins to suspect Annelies has a boyfriend, but she soon puts him straight. Meanwhile, Inspector Rabet's drinking problem is getting worse, and Annelies loses her temper. In Flemish with English subtitles.
=HYPERLINK("https://www.pbs.org/video/the-hotel-murder-oifrq8/";"Professor T (Belgian), S01E05, The Hotel Murder")			00:50:19			TV-14	A surgeon is killed, and the police are looking for a woman he had spent the night with. Professor T believes she is innocent, but Commissioner Flamant has forbidden her team to contact Professor T for help. Professor T begins his own investigation. Annelies agrees to go on a date with Daan, and Professor T's mother becomes increasingly concerned about her son. In Flemish with English subtitles.
=HYPERLINK("https://www.pbs.org/video/tamara-ffirya/";"Professor T (Belgian), S01E06, Tamara")			00:48:19			TV-14	The call girl who visits Professor T is found dead in her apartment. The police believe she committed suicide, but Professor T is not so sure and hides the fact that he knows the victim to stay on the investigation team. Inspector Rabet is back and he hasn't forgotten that Professor T betrayed him. Annelies and Daan are not speaking to each other. In Flemish with English subtitles.
=HYPERLINK("https://www.pbs.org/video/the-mask-murders-ctrvab/";"Professor T (Belgian), S01E07, The Mask Murders")			00:54:36			TV-14	Years ago, Flamant solved a series of murders by a masked killer. Now an identical crime has been committed. Is it a copycat or did Flamant catch the wrong person? Rushed to hospital for surgery, Professor T helps Flamant from his sick bed. Annelies' father shows up, completely disoriented, and Annelies realises she needs to look for a proper long-term solution. In Flemish with English subtitles.
=HYPERLINK("https://www.pbs.org/video/the-go-between-uuxzbx/";"Professor T (Belgian), S01E08, The Go-Between")			00:53:05			TV-14	Chief inspector Rabet gets into trouble when he's confronted with the man who killed his daughter in a car crash. The man in question is thought to be involved in a crime and while Rabet is certain he's guilty, his colleagues are less convinced. Meanwhile, Professor T is administering oral exams and finds an unlikely investigation aid in one of his students. In Flemish with English subtitles.
=HYPERLINK("https://www.pbs.org/video/motherly-love-bnpzns/";"Professor T (Belgian), S01E09, Motherly Love")			00:51:31			TV-14	The kidnapping of a young boy shocks the team who do everything they can to find him. However, Professor T questions the innocence of his parents. Professor T's mother invites him to present at the opening of her art exhibition, a prospect he is dreading. Rabet finds himself subject to a formal inquiry following the mistreatment of a guest inspector. In Flemish with English subtitles.
=HYPERLINK("https://www.pbs.org/video/the-trial-kacn77/";"Professor T (Belgian), S01E10, The Trial")			00:51:24			TV-14	A man is accused of killing his boss, having been found standing over the body. Annelies and her investigation team are convinced he is guilty. However, following a presentation by Annelies to his students, Professor T questions if they have the right man. Flamant finds herself in hot water, and sparks fly between Daan and Annelies. In Flemish with English subtitles.
=HYPERLINK("https://www.pbs.org/video/the-legacy-b7hqff/";"Professor T (Belgian), S01E11, The Legacy")			00:47:39			TV-14	An affluent businessman vanishes without a trace just after a failed attempt on his life. Blood is found in his living room, yet there is no body. Is this a crime or could it be staged by the 'victim' himself? Meanwhile, Annelies and Daan struggle to keep their relationship a secret in the workplace, where it is forbidden for partners to be romantically involved. In Flemish with English subtitles.
=HYPERLINK("https://www.pbs.org/video/murder-by-numbers-part-1-bhx6nb/";"Professor T (Belgian), S01E12, Murder by Numbers, Part 1")			00:51:49			TV-14	A man is found by a dog walker in a forest; his face severely torched, it seems he has been strangled to death, and he has the year 1991 carved into his chest. Days later, a second victim is found also with a number carved into his chest. Does Antwerp have a serial killer? Where is Professor T when you need him? In Flemish with English subtitles.
=HYPERLINK("https://www.pbs.org/video/murder-by-numbers-part-2-kbkqmb/";"Professor T (Belgian), S01E13, Murder by Numbers, Part 2")			00:50:53			TV-14	With Daan fighting for his life in hospital, the search for the killer continues. Annelies meets with the widow of the third victim, urgently trying to find connections between the three murders. Unbeknownst to the team, the killer is much closer by than they could possibly imagine, and has, in fact, already infiltrated the Department of Criminology. In Flemish with English subtitles.
=HYPERLINK("https://www.pbs.org/video/cuberdon-nmtzsl/";"Professor T (Belgian), S02E01, Cuberdon")			00:49:21			NR	After six months in an institution Professor T is released on one strict condition. Daan returns to the office, but things are not easy and Annelies' guilt puts their relationship under strain. However, the old team are back, and their help is needed; a number of fatalities have been linked to eating poisoned sweets, and the trail leads to the manufacturing company.
=HYPERLINK("https://www.pbs.org/video/ring-of-fire-2w4kdz/";"Professor T (Belgian), S02E02, Ring of Fire")			00:49:02			NR	A student suffers life-threatening injuries as the result of an arson attack, and quite a few people appear to have motives for the attack. Dr. Gijselbrecht sets Professor T an assignment, however Professor T has other concerns. It has been decided that Professor Van der Weyden will continue to teach Professor T's course, but Van der Weyden has a secret.
=HYPERLINK("https://www.pbs.org/video/the-family-tnoo7f/";"Professor T (Belgian), S02E03, The Family")			00:48:01			NR	A physician, his wife and two children are found dead. It is unclear to the team which one of them was the killer of the other three and therefore which of them committed suicide. Professor T is having nightmares and suffering from hyperventilation; is this a result of his therapy? Annelies makes a shocking discovery about her father and Rabet receives startling news.
=HYPERLINK("https://www.pbs.org/video/past-imperfect-ljadeg/";"Professor T (Belgian), S02E04, Past Imperfect")			00:46:45			NR	A series of attacks have been carried out on SUVs. At the same time, pamphlets are being distributed for an anarchist student group which Professor T was once a member of. Professor T invites Flamant to his home for dinner which does not go as planned. Daan's replacement John joins the team; he is certainly an asset and proves intelligent enough to compete with Annelies.
=HYPERLINK("https://www.pbs.org/video/of-passion-c4piru/";"Professor T (Belgian), S02E05, Of Passion")			00:52:08			NR	Having witnessed more poor teaching by Van der Weyden, Professor T is at his wits’ end and comes up with a plan to pretend that he is considering a job offer at a different university. Annelies realizes she can no longer take care of her father on her own, and has some tough decisions to make. Annelies and John are collaborating successfully, but Annelies still has her guard up.
=HYPERLINK("https://www.pbs.org/video/diamond-5anxru/";"Professor T (Belgian), S02E06, Diamond")			00:50:32			NR	A jeweler's family is taken hostage while the jeweler is on his way to empty the safe at his shop; an accident en route raises suspicion. Professor T is going through a rough patch and considers quitting therapy. Not only has he been unable to prevent a fatality, he's also admitted to hospital after an accident at a public swimming pool. Since his departure, Flamant has assumed Rabet's duties.
=HYPERLINK("https://www.pbs.org/video/jitske-kuynjt/";"Professor T (Belgian), S02E07, Jitske")			00:51:11			NR	Jitske, a 17-year-old girl with Down syndrome, claims she knows who murdered her mother, but she doesn't want to say who it is. When Annelies shows insensitivity towards the girl, John decides it's time for her to meet his daughter, Elke. Professor T finds that Flamant is being overly friendly and it is making him nervous, especially when she confides in him about her upcoming divorce.
=HYPERLINK("https://www.pbs.org/video/attachment-issues-hm4g5m/";"Professor T (Belgian), S02E08, Attachment Issues")			00:46:11			NR	When a woman's body is found 100 meters from where her car fell into a deep canal, the cause of death seems clear. However, when it is discovered that her injuries were not caused by the accident the team struggle to come up with an explanation. Professor T receives a blow to his ego as Annelies struggles to accept her father's fast deterioration.
=HYPERLINK("https://www.pbs.org/video/the-conference-zvoc4p/";"Professor T (Belgian), S02E09, The Conference")			00:48:13			NR	Much to the dean's dismay, Professor T refuses to appear as the second speaker at the annual conference of criminologists. Following the murder of the headliner, the event descends into disarray. Annelies and John's relationship improves, he has gained her trust: she tells him that she burned her father's living will and that she now regrets it. To her amazement, John has a simple solution.
